"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="2009","第一銅","01/09","47.7","-0.45","-0.93","年","0","0","0","0","0","0","0","0","0","0",""
="2010","春源","01/09","21.05","+0.15","+0.72","年","0","0","0","0","0","0","0","0","0","0",""
="2013","中鋼構","01/09","42.55","+0.05","+0.12","年","0","0","0","0","0","0","0","0","0","0",""
="2014","中鴻","01/09","16.35","-0.2","-1.21","年","0","0","0","0","0","0","0","0","0","0",""
="2015","豐興","01/09","62.6","+0.2","+0.32","年","0","0","0","0","0","0","0","0","0","0",""
="2017","官田鋼","01/09","8.84","-0.16","-1.78","年","0.161","0","0.45","0","0","0","0.6","0.4","0","0",""
="2020","美亞","01/09","23.45","-0.3","-1.26","年","0.222","0","0","0","0","0","0","0","2","0",""
="2022","聚亨","01/09","8.4","-0.12","-1.41","年","0","0","0","0","0","0","0","0","0","0",""
="2023","燁輝","01/09","14.8","-0.05","-0.34","年","0.2","0.6","0.3","0.2","0","0","0.5","0","0.2","0",""
="2024","志聯","01/09","16.1","+0.05","+0.31","年","0","0","0","0","0","0","0","0","0","0",""
="2025","千興","01/09","11.8","-1.15","-8.88","年","0","0","0","0","0","0","0","0","0","0",""
="2027","大成鋼","01/09","35.65","-0.15","-0.42","年","0.333","0.299","0.4","0","0.2","0","0.1","2","0","0",""
="2029","盛餘","01/09","21.25","-0.15","-0.7","年","0","0","0","0","0","0","0","0","0","0",""
="2030","彰源","01/09","15.25","-0.5","-3.17","年","0","0","0","0","0","0","0","0","0","0",""
="2031","新光鋼","01/09","38.55","+0.05","+0.13","年","0","0","0","0","0","0","0","0","0","0",""
="2032","新鋼","01/09","16.25","-0.35","-2.11","年","0","0","0","0","0","0","0","0","0","0",""
="2033","佳大","01/09","16.1","-0.05","-0.31","年","0","0","0","0","0","0","0","0","0","0",""
